Batch,File,Total_Rows,Unique_Rows,Duplicates,Type,Dup_Rate,Unique_Rate,Cumulative_Total,Cumulative_Unique,Cumulative_Dups,Bloom_Elements,Fill_Ratio
1,fhv_2025-03,2182992,2161008,21984,FHV,1.0070582026869546,98.99294179731305,2182992,2161008,21984,250000001,100.0000004
2,fhv_2025-04,1699478,1682322,17156,FHV,1.0094864423075791,98.99051355769242,3882470,3843330,39140,250000001,100.0000004
3,fhvhv_2025-01,20405666,20198108,207558,FHVHV,1.0171586656372795,98.98284133436273,24288136,24041438,246698,250000001,100.0000004
4,fhvhv_2025-03,20536879,20327220,209659,FHVHV,1.020890272567706,98.97910972743229,44825015,44368658,456357,250000001,100.0000004
5,green_2025-05,54441,53862,579,Green,1.0635366727282747,98.93646332727172,44879456,44422520,456936,250000001,100.0000004
6,green_2025-06,48352,47868,484,Green,1.0009927200529452,98.99900727994707,44927808,44470388,457420,250000001,100.0000004
7,yellow_2025-05,4242250,4199381,42869,Yellow,1.0105250751370147,98.98947492486299,49170058,48669769,500289,250000001,100.0000004
8,yellow_2025-06,4024343,3983395,40948,Yellow,1.0175077024995136,98.98249229750049,53194401,52653164,541237,250000001,100.0000004
